     15.7175      6.05476      1.55415
     15.7225      6.08551       1.5537
     15.7177       6.1047       1.5563
     15.7202      6.12282      1.55555
     15.7221      6.15635      1.55574
     15.7275      6.15556      1.55606
     15.7271      6.18892      1.56001
     15.7274      6.20316       1.5558
     15.7291      6.22091      1.55708
     15.7291      6.23595      1.55608
      15.765      6.32911      1.55792
     15.7637      6.35946      1.56099
     15.7641      6.37709      1.55786
     15.7646      6.40671      1.55826
      15.858      6.37317      1.55932
     15.8586      6.38745      1.55869
     15.8585      6.42296      1.55245
     15.8585      6.43775      1.55888
     15.8583      6.45593      1.55933
     15.8465      6.45897      1.55998
     15.8421      6.49032      1.55175
     15.8434      6.50674      1.55968
     15.8439      6.52413      1.56046
      15.843      6.53983      1.56558
     15.8422      6.57185      1.56039
     15.8449      6.57937       1.5602
     15.8424      6.59743      1.56113
     15.8441      6.62788      1.56072
     15.8399      6.66181      1.56167
     15.8493      6.64908       1.5614
     15.8499      6.66652      1.56238
      15.851      6.70101      1.56067
     15.8492      6.73405       1.5676
     15.8505      6.75286      1.56243
     15.8312       6.6033      1.56263
     15.8329      6.62008      1.56226
     15.8332      6.63992      1.56304
     15.8433      6.69548      1.56342
     15.8432      6.74136       1.5495
     15.7768      6.66451      1.54343
     15.7768      6.68687      1.51165
     15.7815      6.70842      1.50716
     15.7854       6.7545      1.42026
     15.7954      6.80176      1.35569
     15.8017      6.82515      1.31293
     15.7866      6.78707      1.29179
     15.8111      6.85216      1.19006
      15.819        6.873      1.16208
     15.8398      6.91674      1.13064
     15.8503      6.75533      1.11859
     15.8604      6.77656      1.11126
     15.8785      6.81811      1.11523
     15.9015      6.87424      1.14996
     15.9101      6.89457      1.17154
     15.9193      6.91772      1.18846
     15.9901      6.80019      1.20246
     16.0086       6.8388      1.20704
     16.0155      6.85662      1.22404
     16.0165      6.88449      1.24524
     16.0213      6.90518      1.26316
     16.0677      6.81107      1.32282
     16.0802      6.84551      1.35185
     16.0822       6.8687      1.37415
     16.0889      6.88892      1.38814
     16.0929      6.90704      1.41616
     16.0997      6.94672      1.46691
     16.1043      6.98606      1.48652
     16.1062      7.00187      1.47999
     16.1061      7.02333      1.47028
     16.1465      7.01814      1.44992
     16.1475      7.05652      1.42805
     16.1582        7.071      1.42137
     16.1612      7.09211      1.41642
     16.1684      7.12791      1.41157
      16.183      7.10617      1.40563
     16.1897      7.12395      1.39811
     16.1948      7.14242      1.39621
      16.198      7.17836      1.39832
     16.2049      7.21697      1.39921
     16.1171       7.2167      1.39357
     16.1241      7.23612      1.38756
     16.1268      7.27306      1.36416
     16.1361      7.31192      1.32336
     16.1394      7.32619      1.30151
      16.147      7.34256      1.27885
     16.1833      7.38131      1.25974
     16.1945      7.41549      1.24057
     16.1993      7.42996      1.23549
     16.2087      7.44529      1.23545
     16.2122      7.46148      1.23506
     16.2361      7.47486      1.23849
     16.2438      7.50429      1.24109
     16.2501      7.52124      1.24711
     16.2607      7.55077      1.25519
     16.2656       7.5672      1.26148
     16.2672       7.6902      1.26973
     16.2746      7.72332      1.28725
     16.2777       7.7373      1.28829
     16.2848       7.7533      1.28795
      16.289       7.7683      1.28889
     16.2624      7.74202       1.3041
     16.2672      7.77559       1.3218
     16.2728      7.79624      1.32302
     16.2764      7.81441      1.32769
     16.2852       7.8521      1.33463
     16.3389      7.92296      1.34393
     16.3428      7.94274      1.35039
     16.3444      7.95929      1.35917
     16.3509      8.01045      1.41086
     16.3918      8.05209      1.42371
     16.3942       8.0712      1.44116
     16.3948      8.10267      1.47273
     16.3978      8.12051      1.49956
     16.3976      8.15255      1.53515
     16.4265      8.13674      1.56686
     16.4269      8.15177      1.58103
     16.4251      8.17016      1.59511
      16.424      8.20248      1.61856
     16.4193      8.23716      1.63846
     16.3784      8.27654      1.64663
     16.3784      8.29455      1.65113
     16.3736      8.32494      1.65075
     16.3702      8.35953      1.64747
     16.3712      8.37404      1.63878
     16.3691      8.39118      1.63226
     16.3301      8.46446       1.6254
     16.3314      8.49788      1.61827
     16.3294      8.51173      1.60447
      16.329      8.52981      1.59107
     16.3305      8.54586      1.58836
     16.3707      8.50761      1.56467
     16.3689       8.5388       1.5489
     16.3693      8.55821      1.54415
     16.3735      8.57661      1.54313
     16.3719       8.6135      1.55165
     16.3505      8.69131      1.55727
     16.3514      8.72939      1.55855
     16.3516       8.7457      1.55419
      16.353       8.7635      1.54985
     16.3492      8.77884      1.54738
     16.3604      8.82066      1.54168
     16.3649      8.85094      1.53513
     16.3657      8.86859      1.53752
     16.3671      8.88417      1.54183
     16.3676      8.91651      1.54759
     16.3806      8.95865      1.55387
     16.3826      8.99291      1.56219
     16.3815      9.00694      1.57332
     16.3817      9.02335      1.58066
      16.382      9.03876      1.58008
     16.3073       9.1151      1.60123
     16.3041      9.14579      1.61613
     16.3026      9.16273      1.62058
     16.3014      9.17837      1.61919
     16.3012      9.21039      1.60775
     16.3269      9.21085      1.60129
     16.3322       9.2269      1.59848
     16.3279      9.25554      1.60275
     16.3277      9.28824      1.61193
     16.3772      9.23517      1.61489
     16.3715      9.26895      1.62446
     16.3748      9.28656      1.63116
     16.3745      9.30584      1.64498
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
     16.3682      9.34484      1.66938
